precision,recall,accuracy,AP,AUC,CLL,HRcora_new_ind_1
,,,,,,
cora_new_ind,,,,,,
0,0,0.639949109414758,0.5,0.25,-3.4907813,0
citeseer_new_ind_59,,,,,,
0.666666666666667,1,0.639949109414758,0.666666666666667,0.5,-3.971912,0
citeseer_new_ind_60,,,,,,
0.5,0.5,0.639949109414758,0.5,0.5,-3.2990215,0
citeseer_new_ind_61,,,,,,
0,0,0.639949109414758,0.5,0.25,-4.209505,0
citeseer_new_ind_62,,,,,,
0,0,0.639949109414758,0.458333333333333,0.375,-6.7309566,0
citeseer_new_ind_63,,,,,,
0,0,0.639949109414758,0.433333333333333,0.222222222222222,-4.5516734,0
citeseer_new_ind_64,,,,,,
0,0,0.639949109414758,0.5,0.375,-3.2918355,0
citeseer_new_ind_65,,,,,,
0,0,0.639949109414758,0.5,0.25,-4.209505,0
citeseer_new_ind_66,,,,,,
0,0,0.639949109414758,0.5,0.375,-3.42576,0
citeseer_new_ind_67,,,,,,
0,0,0.639949109414758,0.466666666666667,0.388888888888889,-4.766012,0
citeseer_new_ind_68,,,,,,
0.5,1,0.639949109414758,0.75,0.5,-3.1649132,1
citeseer_new_ind_69,,,,,,
0,0,0.639949109414758,0.5,0.25,-3.4907813,0
citeseer_new_ind_70,,,,,,
0,0,0.639949109414758,0.5,0.375,-3.2918355,0
citeseer_new_ind_71,,,,,,
0,0,0.639949109414758,0.422619047619048,0.25,-6.9822836,0
citeseer_new_ind_72,,,,,,
0,0,0.639949109414758,0.416666666666667,0.125,-3.556523,0
citeseer_new_ind_73,,,,,,
0.5,1,0.639949109414758,0.5,0.5,-4.7593365,0
citeseer_new_ind_74,,,,,,
0.5,0.5,0.639949109414758,0.5,0.375,-3.67203,0
citeseer_new_ind_75,,,,,,
0,0,0.639949109414758,0.5,0.25,-4.151955,0
citeseer_new_ind_76,,,,,,
0,0,0.639949109414758,0.5,0.25,-3.4907813,0
citeseer_new_ind_77,,,,,,
0,0,0.639949109414758,0.5,0.375,-3.642037,0
citeseer_new_ind_78,,,,,,
0,0,0.639949109414758,0.5,0.25,-3.7102883,0
citeseer_new_ind_79,,,,,,
0,0,0.639949109414758,0.5,0.375,-3.2918355,0
citeseer_new_ind_80,,,,,,
0,0,0.639949109414758,0.383333333333333,0.111111111111111,-5.377483,0
citeseer_new_ind_81,,,,,,
1,0.5,0.639949109414758,0.75,0.5,-2.3872952,1
citeseer_new_ind_82,,,,,,
0,0,0.639949109414758,0.5,0.25,-2.9995155,0
citeseer_new_ind_83,,,,,,
0,0,0.639949109414758,0.5,0.5,-3.1907642,0
citeseer_new_ind_84,,,,,,
0,0,0.639949109414758,0.5,0.25,-3.4907813,0
citeseer_new_ind_85,,,,,,
1,0.5,0.639949109414758,0.75,0.5,-2.5588949,1
citeseer_new_ind_86,,,,,,
0,0,0.639949109414758,0.583333333333333,0.5,-2.8298028,0
citeseer_new_ind_87,,,,,,
0,0,0.639949109414758,0.75,0.5,-2.8842218,0
citeseer_new_ind_88,,,,,,
1,0.5,0.639949109414758,0.75,0.625,-2.2805343,1
citeseer_new_ind_89,,,,,,
1,0.5,0.639949109414758,0.75,0.625,-2.280534,1
citeseer_new_ind_90,,,,,,
1,1,0.639949109414758,1,1,-1.7982183,1
citeseer_new_ind_91,,,,,,
0,0,0.639949109414758,0.5,0.25,-3.360555,0
citeseer_new_ind_92,,,,,,
0,0,0.639949109414758,0.666666666666667,0.75,-3.2880692,0
citeseer_new_ind_93,,,,,,
0,0,0.639949109414758,0.666666666666667,0.722222222222222,-4.4195333,0
citeseer_new_ind_94,,,,,,
